address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
#251 6079 MAYNARD WY NW,Mactaggart,349900.0,53.4417395,-113.5610437,654509.53,838063.98,1021618.43,367108.9,-488163.98,488163.98,99.0,high,
4016 MACTAGGART DR NW,Mactaggart,1249200.0,53.4384844,-113.5628317,951745.01,1213344.97,1474944.93,523199.9199999999,35855.03000000003,-35855.03000000003,99.0,high,
#317 6083 MAYNARD WY NW,Mactaggart,284900.0,53.4418261,-113.5623479,640746.99,843088.15,1045429.31,404682.32000000007,-558188.15,558188.15,99.0,high,
#206 6083 MAYNARD WY NW,Mactaggart,285000.0,53.4418261,-113.5623479,640746.99,843088.15,1045429.31,404682.32000000007,-558088.15,558088.15,99.0,high,
#116 5810 MULLEN PL NW,Mactaggart,215000.0,53.4324815,-113.5730413,145162.95,191003.88,236844.81,91681.85999999999,23996.119999999995,-23996.119999999995,87.0,high,
#3 5134 MULLEN RD NW,Mactaggart,359900.0,53.43515,-113.5678758,629264.48,827979.58,1026694.68,397430.20000000007,-468079.57999999996,468079.57999999996,99.0,high,
#422 5816 MULLEN PL NW,Mactaggart,249999.0,53.4325318,-113.5716111,145247.13,191114.65,236982.17,91735.04000000001,58884.350000000006,-58884.350000000006,87.0,high,
104 5804 PL NW NW,Sunwapta Industrial,195999.0,53.541666,-113.641975,8041172.08,11045566.04,14049960.0,6008787.92,-10849567.04,10849567.04,79.0,medium,
3612 MCLAY COURT NW,Mactaggart,925000.0,53.4441639,-113.5633156,665635.96,831688.22,997740.48,332104.52,93311.78000000003,-93311.78000000003,99.0,high,
#208 5810 MULLEN PL NW,Mactaggart,179800.0,53.4324815,-113.5730413,145162.95,191003.88,236844.81,91681.85999999999,-11203.880000000005,11203.880000000005,87.0,high,
#217 6083 MAYNARD WY NW,Mactaggart,249900.0,53.4418261,-113.5623479,640746.99,843088.15,1045429.31,404682.32000000007,-593188.15,593188.15,99.0,high,
#319 6083 MAYNARD WY NW,Mactaggart,290000.0,53.4418261,-113.5623479,640746.99,843088.15,1045429.31,404682.32000000007,-553088.15,553088.15,99.0,high,
#402 7459 May Common NW,Magrath Heights,489900.0,53.4434916,-113.5521654,775764.6,1020742.9,1265721.2,489956.6,-530842.9,530842.9,99.0,high,
#301 7459 May CM NW,Magrath Heights,469000.0,53.4434916,-113.5521654,775764.6,1020742.9,1265721.2,489956.6,-551742.9,551742.9,99.0,high,
#322 7459 MAY COMMON NW NW,Magrath Heights,409900.0,53.4434916,-113.5521654,775764.6,1020742.9,1265721.2,489956.6,-610842.9,610842.9,99.0,high,
#25 7121 MAY CR NW,Magrath Heights,850000.0,53.4418848,-113.5507412,630267.43,829299.25,1028331.07,398063.6399999999,20700.75,-20700.75,99.0,high,
4005 MACNEIL PL NW NW,Magrath Heights,1249000.0,53.4458541,-113.5570142,901835.79,1142328.99,1382822.19,480986.3999999999,106671.01000000001,-106671.01000000001,99.0,high,
